T&D :- 11/02/2023 11:36:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 150 | 10726.92
T&D :- 11/02/2023 11:37:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 151 | 10743.84
T&D :- 11/02/2023 11:38:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 152 | 10727.63
T&D :- 11/02/2023 11:39:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 153 | 10717.63
T&D :- 11/02/2023 11:40:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 154 | 10714.09
T&D :- 11/02/2023 11:41:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 155 | 10730.79
T&D :- 11/02/2023 11:42:03 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 156 | 10713.79
T&D :- 11/02/2023 11:43:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 157 | 10671.79
T&D :- 11/02/2023 11:44:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 158 | 10577.79
T&D :- 11/02/2023 11:45:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 159 | 10633.89
T&D :- 11/02/2023 11:46:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 160 | 10748.98
T&D :- 11/02/2023 11:47:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 161 | 10752.44
T&D :- 11/02/2023 11:48:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 162 | 10732.33
T&D :- 11/02/2023 11:49:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 163 | 10706.25
T&D :- 11/02/2023 11:50:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 164 | 10757.02
T&D :- 11/02/2023 11:51:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 165 | 10757.37
T&D :- 11/02/2023 11:52:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 166 | 10747.37
T&D :- 11/02/2023 11:53:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 167 | 10743.83
T&D :- 11/02/2023 11:54:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 168 | 10705.72
T&D :- 11/02/2023 11:55:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 169 | 10765.41
T&D :- 11/02/2023 11:56:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 170 | 10755.41
T&D :- 11/02/2023 11:57:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 171 | 10751.87
T&D :- 11/02/2023 11:58:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 172 | 10716.87
T&D :- 11/02/2023 11:59:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 173 | 10640.87
T&D :- 11/02/2023 12:00:04 | EURUSD-OTC |  | LOSS | put | 124 | Counter :- 174 | 10538.57
T&D :- 11/02/2023 12:01:04 | EURUSD-OTC |  | LOSS | put | 250 | Counter :- 175 | 10280.46
T&D :- 11/02/2023 12:02:04 | EURUSD-OTC |  | LOSS | put | 500 | Counter :- 176 | 9784.38
T&D :- 11/02/2023 12:03:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 177 | 9782.38
T&D :- 11/02/2023 12:04:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 178 | 9780.38
T&D :- 11/02/2023 12:05:04 | EURUSD-OTC |  | WIN | put | 870.851999999999 | Counter :- 179 | 8910.42
T&D :- 11/02/2023 12:06:04 | EURUSD-OTC |  | LOSS | put | 1 | Counter :- 180 | 8908.42
